Year,Month,Total_Confirmed,Average_Confirmed,Variance_Confirmed,STDEV_Confirmed
2020,1,6384,4.1455,4832.911310507683,69.51914348226452
2020,2,68312,15.2960,78489.44618653238,280.15967980159525
2020,3,769236,161.1303,1026414.1786678263,1013.1210088966798
2020,4,2336798,505.8004,7012063.272294189,2648.030073902898
2020,5,2744333,574.8498,6063580.339194553,2462.4338243279863
2020,6,3969634,859.2281,13779211.570030754,3712.036041046848
2020,7,6838092,1432.3611,46914022.88886134,6849.381204814151
2020,8,7694938,1611.8429,54408583.16090782,7376.217401955275
2020,9,8244794,1784.5874,69314698.6016606,8325.544943225073
2020,10,11515841,2412.1996,68988159.04707989,8305.91109072809
2020,11,16595938,3592.1944,195815877.8115701,13993.4226625072
2020,12,19336799,4050.4397,459885446.66320175,21444.93988481203
2021,1,18672205,3911.2285,316304694.1457216,17784.95696215545
2021,2,10492664,2433.3636,79587921.44429906,8921.206277421179
2021,3,13924790,2916.7972,83725265.48297499,9150.151118040345
2021,4,21711021,4699.3552,501013206.38703865,22383.324292585286
2021,5,19121083,4005.2541,628647609.3315454,25072.84605567436
2021,6,5022282,2508.6324,110932776.67203951,10532.462991724182
