Year,Month,Total_Confirmed,Total_Deaths,Average_Deaths,Variance_Deaths,STDEV_Deaths
2020,1,6384,190,0.1234,4.245817169843138,2.0605380777464752
2020,2,68312,2651,0.5936,68.3218488238449,8.265703165723101
2020,3,769236,41346,8.6607,3900.7922648320746,62.45632285711411
2020,4,2336798,191833,41.5223,40504.26811767955,201.25672191924312
2020,5,2744333,144561,30.2809,20684.911671085658,143.8225005730524
2020,6,3969634,137757,29.8175,16929.445709928572,130.11320344195886
2020,7,6838092,167613,35.1096,21140.154944373826,145.39654378414167
2020,8,7694938,179200,37.5367,23272.99645685882,152.55489653517785
2020,9,8244794,160671,34.7773,20102.7692237308,141.78423475030925
2020,10,11515841,175484,36.7583,17580.07101972725,132.589860169348
2020,11,16595938,262247,56.7634,27773.793596962234,166.6547136955995
2020,12,19336799,339996,71.2183,65345.36920134891,255.6274030720277
2021,1,18672205,401893,84.1837,102758.43231925515,320.55956126631935
2021,2,10492664,298239,69.1649,68478.87146663864,261.6846794648832
2021,3,13924790,282620,59.1998,54385.969702527414,233.20799665218905
2021,4,21711021,362387,78.4387,94611.47092309907,307.58977701331213
2021,5,19121083,366549,76.7803,131769.4693132085,363.00064643635073
2021,6,5022282,132657,66.2622,112963.67298959807,336.1006887669201
